States,Account_Length,Area-Code,Phone,International Plan,Vmail Plan,Vmail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge ,International Mins,International Calls,International Charge,Cutserv Calls,Churn_Flag
WI,82.00,408.00, 395-4108,0.00,0.00,0.00,218.00,82.00,37.00,169.00,101.00,14.00,249.00,124.00,11.00,13.00,3.00,3.00,0.00,0.00
IL,156.00,415.00, 410-9800,0.00,0.00,0.00,163.00,113.00,28.00,260.00,90.00,22.00,215.00,93.00,10.00,11.00,2.00,3.00,0.00,0.00
NH,111.00,510.00, 392-6331,0.00,0.00,0.00,197.00,117.00,34.00,228.00,128.00,19.00,214.00,101.00,10.00,9.00,11.00,3.00,0.00,0.00
MD,90.00,415.00, 344-6404,0.00,0.00,0.00,146.00,103.00,25.00,197.00,137.00,17.00,295.00,83.00,13.00,11.00,4.00,3.00,0.00,0.00
NH,171.00,415.00, 418-8664,0.00,0.00,0.00,262.00,78.00,45.00,172.00,113.00,15.00,209.00,100.00,9.00,5.00,3.00,1.00,0.00,0.00
DC,118.00,415.00, 352-7986,0.00,0.00,0.00,183.00,128.00,31.00,241.00,93.00,20.00,211.00,108.00,10.00,13.00,4.00,3.00,0.00,0.00
RI,83.00,510.00, 357-2294,0.00,0.00,0.00,260.00,106.00,44.00,153.00,116.00,13.00,225.00,92.00,10.00,10.00,2.00,3.00,0.00,0.00
DC,136.00,510.00, 353-2763,0.00,0.00,0.00,205.00,63.00,35.00,209.00,95.00,18.00,224.00,119.00,10.00,10.00,2.00,3.00,0.00,0.00
MT,74.00,415.00, 335-9066,0.00,0.00,0.00,163.00,102.00,28.00,292.00,105.00,25.00,183.00,80.00,8.00,9.00,6.00,2.00,0.00,0.00
WV,73.00,415.00, 370-8786,0.00,0.00,0.00,240.00,130.00,41.00,163.00,83.00,14.00,232.00,136.00,10.00,12.00,3.00,3.00,0.00,0.00
ME,149.00,408.00, 408-4323,0.00,0.00,0.00,238.00,79.00,40.00,192.00,107.00,16.00,207.00,111.00,9.00,9.00,9.00,2.00,0.00,0.00
PA,65.00,415.00, 382-9138,0.00,1.00,23.00,224.00,106.00,38.00,190.00,100.00,16.00,223.00,75.00,10.00,10.00,4.00,3.00,0.00,0.00
VA,25.00,415.00, 363-7905,1.00,0.00,0.00,212.00,51.00,36.00,225.00,74.00,19.00,197.00,95.00,9.00,12.00,3.00,3.00,0.00,0.00
OH,165.00,510.00, 378-8567,0.00,0.00,0.00,209.00,67.00,36.00,274.00,89.00,23.00,150.00,88.00,7.00,13.00,1.00,3.00,0.00,0.00
OH,119.00,415.00, 385-7922,0.00,1.00,27.00,220.00,128.00,37.00,268.00,133.00,23.00,147.00,80.00,7.00,11.00,3.00,3.00,0.00,0.00
IA,197.00,415.00, 376-2922,0.00,0.00,0.00,234.00,96.00,40.00,219.00,111.00,19.00,183.00,109.00,8.00,10.00,3.00,3.00,0.00,0.00
ID,109.00,415.00, 389-5075,0.00,0.00,0.00,195.00,104.00,33.00,205.00,91.00,17.00,230.00,95.00,10.00,14.00,4.00,4.00,0.00,0.00
ID,47.00,415.00, 387-1110,0.00,1.00,28.00,196.00,88.00,33.00,195.00,106.00,17.00,243.00,103.00,11.00,11.00,10.00,3.00,0.00,0.00
OR,165.00,415.00, 343-3356,0.00,0.00,0.00,217.00,126.00,37.00,191.00,104.00,16.00,225.00,123.00,10.00,12.00,8.00,3.00,0.00,0.00
MA,128.00,415.00, 385-6778,0.00,0.00,0.00,196.00,99.00,33.00,268.00,120.00,23.00,165.00,76.00,7.00,16.00,2.00,4.00,0.00,0.00
VA,114.00,415.00, 393-1696,0.00,1.00,34.00,115.00,64.00,19.00,229.00,84.00,19.00,289.00,68.00,13.00,10.00,16.00,3.00,0.00,0.00
RI,53.00,408.00, 422-4956,0.00,1.00,18.00,147.00,107.00,25.00,310.00,84.00,26.00,179.00,130.00,8.00,7.00,7.00,2.00,0.00,0.00
WY,62.00,415.00, 336-6907,0.00,0.00,0.00,172.00,132.00,29.00,231.00,100.00,20.00,228.00,109.00,10.00,11.00,5.00,3.00,0.00,0.00
FL,143.00,415.00, 343-6314,0.00,0.00,0.00,119.00,117.00,20.00,288.00,136.00,24.00,223.00,100.00,10.00,12.00,4.00,3.00,0.00,0.00
UT,44.00,415.00, 387-2014,0.00,0.00,0.00,203.00,89.00,34.00,163.00,96.00,14.00,268.00,151.00,12.00,8.00,3.00,2.00,0.00,0.00
HI,148.00,510.00, 416-3915,1.00,0.00,0.00,219.00,88.00,37.00,208.00,85.00,18.00,203.00,99.00,9.00,11.00,4.00,3.00,0.00,0.00
AK,115.00,415.00, 333-3704,0.00,0.00,0.00,245.00,105.00,42.00,159.00,109.00,14.00,230.00,74.00,10.00,7.00,8.00,2.00,0.00,0.00
PA,87.00,408.00, 329-1410,0.00,1.00,30.00,263.00,114.00,45.00,216.00,130.00,18.00,155.00,88.00,7.00,8.00,2.00,2.00,0.00,0.00
ND,94.00,510.00, 334-3152,0.00,0.00,0.00,155.00,113.00,26.00,262.00,121.00,22.00,213.00,81.00,10.00,12.00,5.00,3.00,0.00,0.00
OH,106.00,415.00, 364-4927,0.00,0.00,0.00,159.00,112.00,27.00,220.00,114.00,19.00,253.00,106.00,11.00,9.00,3.00,2.00,0.00,0.00
VA,104.00,408.00, 360-2479,0.00,0.00,0.00,139.00,107.00,24.00,257.00,113.00,22.00,235.00,74.00,11.00,10.00,3.00,3.00,0.00,0.00
OH,74.00,415.00, 336-5661,0.00,0.00,0.00,137.00,106.00,23.00,229.00,105.00,19.00,265.00,114.00,12.00,10.00,4.00,3.00,0.00,0.00
CA,92.00,408.00, 355-9324,0.00,0.00,0.00,249.00,118.00,42.00,212.00,95.00,18.00,169.00,116.00,8.00,9.00,3.00,2.00,0.00,0.00
NY,40.00,408.00, 416-7591,0.00,0.00,0.00,243.00,82.00,41.00,233.00,97.00,20.00,154.00,86.00,7.00,10.00,7.00,3.00,0.00,0.00
WA,63.00,408.00, 404-9539,0.00,0.00,0.00,149.00,104.00,25.00,274.00,75.00,23.00,207.00,72.00,9.00,9.00,4.00,2.00,0.00,0.00
TN,97.00,408.00, 384-2846,0.00,0.00,0.00,239.00,85.00,41.00,203.00,75.00,17.00,181.00,127.00,8.00,16.00,8.00,4.00,0.00,0.00
LA,40.00,510.00, 367-9257,0.00,0.00,0.00,109.00,107.00,19.00,245.00,102.00,21.00,277.00,123.00,12.00,7.00,7.00,2.00,0.00,0.00
OR,159.00,408.00, 385-9556,0.00,0.00,0.00,180.00,103.00,31.00,193.00,148.00,16.00,251.00,109.00,11.00,13.00,5.00,4.00,0.00,0.00
WA,130.00,510.00, 406-7726,0.00,0.00,0.00,124.00,70.00,21.00,271.00,99.00,23.00,240.00,83.00,11.00,4.00,6.00,1.00,0.00,0.00
NM,80.00,510.00, 334-9806,0.00,0.00,0.00,206.00,97.00,35.00,155.00,98.00,13.00,264.00,82.00,12.00,12.00,12.00,3.00,0.00,0.00
TX,130.00,408.00, 385-6175,0.00,0.00,0.00,252.00,101.00,43.00,170.00,105.00,14.00,209.00,64.00,9.00,6.00,5.00,2.00,0.00,0.00
AK,115.00,415.00, 349-1756,0.00,0.00,0.00,211.00,120.00,36.00,153.00,84.00,13.00,262.00,79.00,12.00,11.00,5.00,3.00,0.00,0.00
MA,77.00,408.00, 420-3042,0.00,1.00,17.00,205.00,84.00,35.00,201.00,102.00,17.00,220.00,97.00,10.00,11.00,5.00,3.00,0.00,0.00
TN,67.00,415.00, 414-9717,0.00,0.00,0.00,180.00,125.00,31.00,173.00,86.00,15.00,273.00,97.00,12.00,11.00,4.00,3.00,0.00,0.00
KS,33.00,415.00, 403-6319,0.00,0.00,0.00,228.00,77.00,39.00,176.00,102.00,15.00,225.00,119.00,10.00,8.00,1.00,2.00,0.00,0.00
DC,126.00,415.00, 392-5512,0.00,0.00,0.00,161.00,110.00,27.00,221.00,125.00,19.00,249.00,78.00,11.00,5.00,2.00,1.00,0.00,0.00
IL,76.00,510.00, 400-8952,0.00,0.00,0.00,186.00,96.00,32.00,212.00,100.00,18.00,231.00,100.00,10.00,8.00,4.00,2.00,0.00,0.00
MN,55.00,415.00, 397-6109,0.00,0.00,0.00,176.00,147.00,30.00,162.00,118.00,14.00,290.00,55.00,13.00,9.00,4.00,3.00,0.00,0.00
OH,32.00,415.00, 401-6977,0.00,1.00,31.00,233.00,97.00,40.00,184.00,111.00,16.00,207.00,111.00,9.00,13.00,2.00,4.00,0.00,0.00
MO,20.00,415.00, 353-2630,0.00,0.00,0.00,190.00,109.00,32.00,258.00,84.00,22.00,182.00,102.00,8.00,6.00,6.00,2.00,0.00,0.00
NV,144.00,415.00, 375-8238,1.00,0.00,0.00,150.00,69.00,26.00,286.00,73.00,24.00,191.00,121.00,9.00,9.00,15.00,3.00,0.00,0.00
KS,137.00,415.00, 329-4474,0.00,1.00,19.00,175.00,96.00,30.00,241.00,146.00,21.00,211.00,109.00,10.00,8.00,2.00,2.00,0.00,0.00
NV,102.00,415.00, 373-5196,0.00,0.00,0.00,144.00,87.00,25.00,267.00,128.00,23.00,218.00,59.00,10.00,7.00,7.00,2.00,0.00,0.00
SD,95.00,408.00, 406-4840,0.00,1.00,20.00,166.00,78.00,28.00,216.00,94.00,18.00,243.00,91.00,11.00,10.00,6.00,3.00,0.00,0.00
AZ,117.00,408.00, 417-4404,0.00,0.00,0.00,240.00,84.00,41.00,175.00,106.00,15.00,210.00,93.00,9.00,10.00,2.00,3.00,0.00,0.00
AZ,124.00,415.00, 360-1406,0.00,0.00,0.00,254.00,104.00,43.00,118.00,123.00,10.00,249.00,104.00,11.00,14.00,2.00,4.00,0.00,0.00
DE,133.00,510.00, 333-2906,0.00,0.00,0.00,246.00,102.00,42.00,265.00,90.00,23.00,112.00,103.00,5.00,11.00,7.00,3.00,0.00,0.00
WI,92.00,415.00, 421-9401,1.00,0.00,0.00,264.00,91.00,45.00,161.00,115.00,14.00,199.00,73.00,9.00,9.00,5.00,3.00,0.00,0.00
MN,118.00,415.00, 352-8208,0.00,0.00,0.00,162.00,96.00,27.00,224.00,113.00,19.00,241.00,137.00,11.00,7.00,2.00,2.00,0.00,0.00
FL,98.00,408.00, 416-7452,0.00,0.00,0.00,288.00,101.00,49.00,138.00,93.00,12.00,207.00,88.00,9.00,0.00,0.00,0.00,0.00,0.00
MN,95.00,408.00, 340-4627,0.00,1.00,32.00,262.00,123.00,45.00,165.00,82.00,14.00,194.00,57.00,9.00,11.00,5.00,3.00,0.00,0.00
NC,43.00,415.00, 339-3059,0.00,0.00,0.00,166.00,96.00,28.00,132.00,105.00,11.00,323.00,62.00,15.00,11.00,6.00,3.00,0.00,0.00
AL,19.00,415.00, 380-3910,1.00,0.00,0.00,238.00,98.00,40.00,207.00,121.00,18.00,182.00,95.00,8.00,5.00,4.00,1.00,0.00,0.00
WY,43.00,415.00, 329-9847,1.00,0.00,0.00,252.00,105.00,43.00,213.00,104.00,18.00,158.00,67.00,7.00,9.00,4.00,3.00,0.00,0.00
NC,72.00,415.00, 352-5663,0.00,0.00,0.00,197.00,88.00,33.00,159.00,129.00,13.00,269.00,118.00,12.00,7.00,3.00,2.00,0.00,0.00
NM,59.00,408.00, 401-3749,0.00,0.00,0.00,146.00,95.00,25.00,228.00,81.00,19.00,248.00,87.00,11.00,10.00,5.00,3.00,0.00,0.00
HI,171.00,510.00, 361-9195,0.00,0.00,0.00,190.00,122.00,32.00,174.00,85.00,15.00,257.00,84.00,12.00,10.00,1.00,3.00,0.00,0.00
DE,117.00,415.00, 417-2716,0.00,0.00,0.00,169.00,137.00,29.00,241.00,107.00,21.00,205.00,106.00,9.00,16.00,4.00,4.00,0.00,0.00
UT,95.00,408.00, 379-2790,0.00,1.00,35.00,229.00,143.00,39.00,148.00,104.00,13.00,248.00,110.00,11.00,4.00,3.00,1.00,0.00,0.00
OH,123.00,408.00, 420-9575,0.00,0.00,0.00,105.00,150.00,18.00,252.00,90.00,21.00,258.00,93.00,12.00,15.00,5.00,4.00,0.00,0.00
SC,107.00,415.00, 368-5165,0.00,0.00,0.00,207.00,79.00,35.00,262.00,117.00,22.00,149.00,69.00,7.00,11.00,3.00,3.00,0.00,0.00
OK,73.00,415.00, 409-8346,1.00,1.00,34.00,253.00,103.00,43.00,220.00,79.00,19.00,145.00,65.00,7.00,11.00,3.00,3.00,0.00,0.00
OH,132.00,415.00, 375-5414,0.00,1.00,10.00,183.00,54.00,31.00,292.00,68.00,25.00,142.00,116.00,6.00,12.00,4.00,3.00,0.00,0.00
DC,144.00,415.00, 336-7696,0.00,0.00,0.00,133.00,101.00,23.00,256.00,127.00,22.00,229.00,68.00,10.00,12.00,2.00,3.00,0.00,0.00
OR,60.00,415.00, 366-9430,0.00,0.00,0.00,208.00,109.00,35.00,124.00,112.00,11.00,292.00,115.00,13.00,6.00,9.00,2.00,0.00,0.00
SD,125.00,415.00, 404-9754,0.00,0.00,0.00,164.00,73.00,28.00,256.00,85.00,22.00,193.00,95.00,9.00,16.00,4.00,4.00,0.00,0.00
DC,108.00,408.00, 399-8615,0.00,1.00,35.00,216.00,106.00,37.00,201.00,107.00,17.00,195.00,107.00,9.00,16.00,7.00,4.00,0.00,0.00
MI,139.00,415.00, 421-3528,0.00,1.00,20.00,215.00,101.00,36.00,235.00,132.00,20.00,163.00,132.00,7.00,15.00,12.00,4.00,0.00,0.00
NJ,131.00,415.00, 411-1810,0.00,0.00,0.00,212.00,115.00,36.00,261.00,102.00,22.00,144.00,96.00,6.00,11.00,7.00,3.00,0.00,0.00
OR,69.00,408.00, 375-9180,0.00,0.00,0.00,196.00,87.00,33.00,237.00,66.00,20.00,182.00,75.00,8.00,12.00,1.00,3.00,0.00,0.00
RI,42.00,415.00, 364-7547,0.00,0.00,0.00,251.00,81.00,43.00,178.00,106.00,15.00,185.00,90.00,8.00,13.00,5.00,3.00,0.00,0.00
NV,105.00,415.00, 376-4540,1.00,0.00,0.00,228.00,100.00,39.00,145.00,108.00,12.00,245.00,140.00,11.00,8.00,7.00,2.00,0.00,0.00
GA,70.00,415.00, 361-3491,0.00,1.00,20.00,230.00,110.00,39.00,178.00,111.00,15.00,206.00,38.00,9.00,12.00,2.00,3.00,0.00,0.00
ID,119.00,415.00, 338-9952,1.00,1.00,32.00,173.00,101.00,29.00,209.00,93.00,18.00,231.00,91.00,10.00,12.00,4.00,3.00,0.00,0.00
MI,130.00,415.00, 412-2578,0.00,0.00,0.00,144.00,76.00,24.00,275.00,103.00,23.00,195.00,105.00,9.00,12.00,1.00,3.00,0.00,0.00
IL,44.00,415.00, 350-6639,0.00,1.00,34.00,222.00,105.00,38.00,162.00,85.00,14.00,228.00,62.00,10.00,14.00,7.00,4.00,0.00,0.00
AL,56.00,415.00, 380-1101,0.00,0.00,0.00,226.00,52.00,38.00,242.00,69.00,21.00,145.00,68.00,7.00,12.00,3.00,3.00,0.00,0.00
PA,84.00,415.00, 417-3884,0.00,0.00,0.00,109.00,114.00,19.00,231.00,113.00,20.00,274.00,112.00,12.00,10.00,4.00,3.00,0.00,0.00
MA,150.00,408.00, 398-2148,0.00,1.00,27.00,210.00,112.00,36.00,155.00,80.00,13.00,252.00,111.00,11.00,7.00,6.00,2.00,0.00,0.00
HI,40.00,415.00, 407-1209,1.00,1.00,21.00,147.00,117.00,25.00,263.00,110.00,22.00,202.00,97.00,9.00,11.00,5.00,3.00,0.00,0.00
LA,44.00,510.00, 389-6798,0.00,0.00,0.00,190.00,122.00,32.00,179.00,72.00,15.00,245.00,93.00,11.00,10.00,5.00,3.00,0.00,0.00
AL,117.00,415.00, 410-6396,0.00,0.00,0.00,199.00,75.00,34.00,180.00,92.00,15.00,234.00,119.00,11.00,11.00,6.00,3.00,0.00,0.00
DC,100.00,510.00, 403-2455,1.00,0.00,0.00,69.00,110.00,12.00,337.00,115.00,29.00,205.00,99.00,9.00,12.00,9.00,3.00,0.00,0.00
DC,165.00,510.00, 352-3780,0.00,0.00,0.00,195.00,84.00,33.00,230.00,116.00,20.00,185.00,147.00,8.00,12.00,3.00,3.00,0.00,0.00
CO,90.00,415.00, 375-1390,0.00,1.00,30.00,168.00,103.00,29.00,221.00,75.00,19.00,224.00,105.00,10.00,8.00,2.00,2.00,0.00,0.00
SC,99.00,510.00, 397-4304,0.00,0.00,0.00,169.00,70.00,29.00,272.00,77.00,23.00,170.00,104.00,8.00,11.00,2.00,3.00,0.00,0.00
FL,120.00,415.00, 348-3444,0.00,1.00,31.00,154.00,83.00,26.00,219.00,96.00,19.00,237.00,76.00,11.00,11.00,4.00,3.00,0.00,0.00
CT,103.00,510.00, 377-9178,0.00,0.00,0.00,160.00,104.00,27.00,139.00,70.00,12.00,313.00,97.00,14.00,10.00,2.00,3.00,0.00,0.00
IA,120.00,415.00, 341-6743,0.00,1.00,33.00,300.00,83.00,51.00,163.00,84.00,14.00,147.00,88.00,7.00,12.00,5.00,3.00,0.00,0.00
KS,159.00,415.00, 415-2176,0.00,1.00,19.00,184.00,78.00,31.00,195.00,71.00,17.00,226.00,101.00,10.00,17.00,3.00,5.00,0.00,0.00
WA,106.00,408.00, 416-4464,0.00,0.00,0.00,194.00,66.00,33.00,238.00,82.00,20.00,176.00,107.00,8.00,13.00,3.00,3.00,0.00,0.00
NY,68.00,415.00, 349-4762,0.00,1.00,29.00,240.00,82.00,41.00,204.00,105.00,17.00,168.00,70.00,8.00,10.00,6.00,3.00,0.00,0.00
IL,156.00,415.00, 343-3296,0.00,0.00,0.00,175.00,65.00,30.00,197.00,116.00,17.00,239.00,86.00,11.00,11.00,2.00,3.00,0.00,0.00
AL,111.00,415.00, 331-7190,0.00,0.00,0.00,188.00,107.00,32.00,246.00,70.00,21.00,176.00,88.00,8.00,11.00,7.00,3.00,0.00,0.00
ID,77.00,510.00, 356-3403,0.00,0.00,0.00,190.00,112.00,32.00,207.00,95.00,18.00,214.00,91.00,10.00,9.00,7.00,2.00,0.00,0.00
LA,179.00,408.00, 415-2393,0.00,0.00,0.00,219.00,92.00,37.00,149.00,125.00,13.00,245.00,104.00,11.00,6.00,5.00,2.00,0.00,0.00
WY,88.00,408.00, 411-9815,0.00,0.00,0.00,166.00,97.00,28.00,187.00,118.00,16.00,252.00,89.00,11.00,15.00,4.00,4.00,0.00,0.00
ME,33.00,510.00, 375-6665,0.00,1.00,16.00,125.00,56.00,21.00,247.00,140.00,21.00,235.00,109.00,11.00,12.00,2.00,3.00,0.00,0.00
OH,75.00,415.00, 340-9803,0.00,0.00,0.00,151.00,99.00,26.00,302.00,83.00,26.00,159.00,104.00,7.00,8.00,5.00,2.00,0.00,0.00
SD,125.00,510.00, 393-9677,0.00,1.00,34.00,268.00,112.00,46.00,222.00,108.00,19.00,118.00,102.00,5.00,10.00,3.00,3.00,0.00,0.00
CT,94.00,415.00, 353-1663,0.00,0.00,0.00,200.00,113.00,34.00,129.00,116.00,11.00,279.00,109.00,13.00,10.00,5.00,3.00,0.00,0.00
NE,139.00,415.00, 375-9930,0.00,0.00,0.00,211.00,103.00,36.00,207.00,108.00,18.00,194.00,70.00,9.00,6.00,4.00,2.00,0.00,0.00
WI,73.00,415.00, 419-4894,0.00,0.00,0.00,157.00,109.00,27.00,269.00,83.00,23.00,182.00,91.00,8.00,10.00,8.00,3.00,0.00,0.00
AK,97.00,415.00, 380-2600,0.00,1.00,24.00,176.00,109.00,30.00,159.00,81.00,14.00,269.00,94.00,12.00,12.00,9.00,3.00,0.00,0.00
MT,108.00,415.00, 401-7439,0.00,0.00,0.00,109.00,128.00,18.00,325.00,97.00,28.00,174.00,67.00,8.00,9.00,6.00,3.00,0.00,0.00
MI,63.00,510.00, 396-1278,0.00,0.00,0.00,185.00,87.00,32.00,225.00,87.00,19.00,194.00,93.00,9.00,12.00,3.00,3.00,0.00,0.00
OH,110.00,510.00, 387-4946,0.00,0.00,0.00,176.00,91.00,30.00,237.00,127.00,20.00,195.00,114.00,9.00,10.00,8.00,3.00,0.00,0.00
IA,76.00,510.00, 330-9833,0.00,0.00,0.00,198.00,130.00,34.00,217.00,86.00,18.00,188.00,96.00,8.00,13.00,3.00,3.00,0.00,0.00
NC,115.00,415.00, 344-6590,0.00,1.00,26.00,132.00,142.00,22.00,273.00,89.00,23.00,196.00,77.00,9.00,15.00,7.00,4.00,0.00,0.00
NH,121.00,510.00, 346-6352,0.00,1.00,35.00,194.00,62.00,33.00,198.00,97.00,17.00,219.00,95.00,10.00,6.00,4.00,2.00,0.00,0.00
SD,85.00,408.00, 358-5826,0.00,0.00,0.00,210.00,82.00,36.00,195.00,94.00,17.00,200.00,85.00,9.00,11.00,3.00,3.00,0.00,0.00
AL,185.00,415.00, 331-5614,0.00,0.00,0.00,159.00,93.00,27.00,295.00,69.00,25.00,146.00,116.00,7.00,17.00,3.00,4.00,0.00,0.00
NY,111.00,415.00, 382-4872,0.00,0.00,0.00,182.00,117.00,31.00,158.00,91.00,13.00,266.00,123.00,12.00,10.00,9.00,3.00,0.00,0.00
MS,103.00,510.00, 390-6388,0.00,1.00,29.00,164.00,111.00,28.00,219.00,96.00,19.00,220.00,108.00,10.00,12.00,9.00,3.00,0.00,0.00
NV,91.00,408.00, 337-6898,0.00,0.00,0.00,134.00,75.00,23.00,195.00,87.00,17.00,281.00,89.00,13.00,6.00,2.00,2.00,0.00,0.00
VA,95.00,415.00, 366-7331,0.00,0.00,0.00,197.00,88.00,33.00,190.00,68.00,16.00,212.00,104.00,10.00,16.00,8.00,4.00,0.00,0.00
MA,102.00,510.00, 355-6560,1.00,0.00,0.00,234.00,103.00,40.00,222.00,131.00,19.00,147.00,106.00,7.00,13.00,3.00,3.00,0.00,0.00
AR,185.00,415.00, 353-2557,0.00,1.00,19.00,157.00,123.00,27.00,258.00,94.00,22.00,190.00,107.00,9.00,10.00,6.00,3.00,0.00,0.00
PA,101.00,415.00, 368-2074,1.00,0.00,0.00,194.00,108.00,33.00,187.00,98.00,16.00,223.00,100.00,10.00,12.00,8.00,3.00,0.00,0.00
MT,138.00,415.00, 392-8092,0.00,0.00,0.00,216.00,106.00,37.00,208.00,110.00,18.00,180.00,102.00,8.00,11.00,4.00,3.00,0.00,0.00
ID,61.00,415.00, 344-6909,0.00,0.00,0.00,235.00,126.00,40.00,201.00,76.00,17.00,171.00,81.00,8.00,8.00,2.00,2.00,0.00,0.00
AK,78.00,408.00, 336-5406,0.00,0.00,0.00,225.00,67.00,38.00,199.00,127.00,17.00,176.00,102.00,8.00,15.00,2.00,4.00,0.00,0.00
KY,102.00,415.00, 396-8551,1.00,0.00,0.00,210.00,85.00,36.00,166.00,100.00,14.00,230.00,92.00,10.00,9.00,6.00,2.00,0.00,0.00
IL,81.00,415.00, 375-3658,0.00,1.00,31.00,210.00,100.00,36.00,226.00,97.00,19.00,169.00,120.00,8.00,10.00,4.00,3.00,0.00,0.00
FL,147.00,415.00, 396-5800,0.00,0.00,0.00,155.00,117.00,26.00,240.00,93.00,20.00,209.00,133.00,9.00,11.00,4.00,3.00,0.00,0.00
MI,30.00,510.00, 391-6607,0.00,0.00,0.00,227.00,88.00,39.00,183.00,100.00,16.00,192.00,134.00,9.00,13.00,3.00,3.00,0.00,0.00
NH,90.00,415.00, 373-5670,0.00,0.00,0.00,76.00,121.00,13.00,290.00,73.00,25.00,237.00,89.00,11.00,11.00,3.00,3.00,0.00,0.00
TN,96.00,415.00, 350-5500,0.00,0.00,0.00,265.00,117.00,45.00,264.00,121.00,22.00,77.00,89.00,3.00,8.00,4.00,2.00,0.00,0.00
UT,104.00,408.00, 418-4637,0.00,0.00,0.00,263.00,101.00,45.00,236.00,117.00,20.00,102.00,146.00,5.00,13.00,4.00,4.00,0.00,0.00
ID,113.00,415.00, 336-9053,0.00,1.00,30.00,184.00,102.00,31.00,183.00,123.00,16.00,235.00,52.00,11.00,12.00,7.00,3.00,0.00,0.00
AL,85.00,408.00, 411-4232,0.00,0.00,0.00,128.00,107.00,22.00,271.00,124.00,23.00,202.00,76.00,9.00,13.00,5.00,3.00,0.00,0.00
OH,106.00,415.00, 352-2270,0.00,1.00,30.00,220.00,105.00,37.00,222.00,109.00,19.00,158.00,96.00,7.00,13.00,8.00,4.00,0.00,0.00
WI,184.00,408.00, 401-5915,0.00,1.00,12.00,200.00,76.00,34.00,254.00,105.00,22.00,149.00,93.00,7.00,10.00,5.00,3.00,0.00,0.00
SD,221.00,510.00, 365-2192,0.00,1.00,24.00,181.00,85.00,31.00,224.00,92.00,19.00,206.00,103.00,9.00,2.00,3.00,1.00,0.00,0.00
NV,134.00,415.00, 343-3870,0.00,0.00,0.00,200.00,107.00,34.00,206.00,86.00,17.00,199.00,125.00,9.00,8.00,5.00,2.00,0.00,0.00
VT,76.00,408.00, 371-6274,0.00,0.00,0.00,209.00,124.00,35.00,173.00,117.00,15.00,221.00,95.00,10.00,10.00,3.00,3.00,0.00,0.00
NC,73.00,415.00, 414-5786,0.00,1.00,31.00,194.00,104.00,33.00,176.00,84.00,15.00,230.00,110.00,10.00,12.00,3.00,3.00,0.00,0.00
UT,85.00,510.00, 327-6194,0.00,0.00,0.00,212.00,107.00,36.00,228.00,103.00,19.00,163.00,116.00,7.00,8.00,3.00,2.00,0.00,0.00
CO,80.00,415.00, 406-5710,0.00,0.00,0.00,195.00,116.00,33.00,210.00,93.00,18.00,194.00,100.00,9.00,13.00,3.00,3.00,0.00,0.00
WV,106.00,510.00, 347-9738,0.00,0.00,0.00,195.00,133.00,33.00,213.00,73.00,18.00,191.00,92.00,9.00,12.00,7.00,3.00,0.00,0.00
UT,94.00,415.00, 402-2343,0.00,0.00,0.00,183.00,109.00,31.00,199.00,109.00,17.00,214.00,71.00,10.00,14.00,4.00,4.00,0.00,0.00
WY,157.00,415.00, 348-9938,1.00,0.00,0.00,180.00,123.00,31.00,194.00,98.00,16.00,227.00,88.00,10.00,8.00,5.00,2.00,0.00,0.00
VT,120.00,415.00, 401-4052,0.00,0.00,0.00,221.00,106.00,38.00,268.00,98.00,23.00,112.00,80.00,5.00,9.00,7.00,3.00,0.00,0.00
GA,101.00,415.00, 383-8695,0.00,1.00,33.00,200.00,108.00,34.00,189.00,122.00,16.00,205.00,90.00,9.00,16.00,4.00,4.00,0.00,0.00
AL,167.00,510.00, 335-5882,0.00,0.00,0.00,208.00,88.00,35.00,132.00,63.00,11.00,255.00,98.00,11.00,14.00,5.00,4.00,0.00,0.00
MA,83.00,510.00, 355-3062,0.00,0.00,0.00,269.00,81.00,46.00,146.00,100.00,12.00,186.00,86.00,8.00,9.00,6.00,3.00,0.00,0.00
WV,78.00,510.00, 402-3033,0.00,1.00,26.00,189.00,98.00,32.00,192.00,67.00,16.00,217.00,68.00,10.00,11.00,3.00,3.00,0.00,0.00
MT,138.00,415.00, 355-5925,0.00,1.00,28.00,151.00,59.00,26.00,270.00,122.00,23.00,179.00,116.00,8.00,9.00,9.00,2.00,0.00,0.00
OR,165.00,415.00, 409-8453,0.00,1.00,33.00,112.00,140.00,19.00,213.00,111.00,18.00,268.00,115.00,12.00,16.00,3.00,4.00,0.00,0.00
CA,112.00,415.00, 346-5036,0.00,0.00,0.00,209.00,150.00,35.00,213.00,104.00,18.00,178.00,98.00,8.00,9.00,4.00,2.00,0.00,0.00
WV,94.00,415.00, 353-2080,0.00,0.00,0.00,86.00,113.00,15.00,227.00,91.00,19.00,280.00,110.00,13.00,16.00,16.00,4.00,0.00,0.00
NC,118.00,415.00, 358-3379,0.00,0.00,0.00,257.00,115.00,44.00,135.00,79.00,12.00,208.00,131.00,9.00,8.00,5.00,2.00,0.00,0.00
ME,151.00,415.00, 352-8249,0.00,1.00,26.00,197.00,98.00,33.00,176.00,111.00,15.00,222.00,124.00,10.00,13.00,5.00,4.00,0.00,0.00
